sample_id	chrom	start	end	cn_a	cn_b
sample_1	chrom1	0	1	0	0
sample_1	chrom1	1	2	0	0
sample_1	chrom1	2	3	0	0
sample_1	chrom1	3	4	0	0
sample_1	chrom1	4	5	0	0
sample_1	chrom1	5	6	0	0
sample_1	chrom1	6	7	0	0
sample_1	chrom1	7	8	0	0
sample_1	chrom1	8	9	0	0
sample_1	chrom1	9	10	0	0
sample_1	chrom2	0	1	0	0
sample_1	chrom2	1	2	0	0
sample_1	chrom2	2	3	0	0
sample_1	chrom2	3	4	0	0
sample_1	chrom2	4	5	0	0
sample_1	chrom2	5	6	0	0
sample_1	chrom2	6	7	0	0
sample_1	chrom2	7	8	0	0
sample_1	chrom2	8	9	0	0
sample_1	chrom2	9	10	0	0
sample_1	chrom3	0	1	0	0
sample_1	chrom3	1	2	0	0
sample_1	chrom3	2	3	0	0
sample_1	chrom3	3	4	0	0
sample_1	chrom3	4	5	0	0
sample_1	chrom3	5	6	0	0
sample_1	chrom3	6	7	0	0
sample_1	chrom3	7	8	0	0
sample_1	chrom3	8	9	0	0
sample_1	chrom3	9	10	0	0
sample_1	chrom4	0	1	0	0
sample_1	chrom4	1	2	0	0
sample_1	chrom4	2	3	0	0
sample_1	chrom4	3	4	0	0
sample_1	chrom4	4	5	0	0
sample_1	chrom4	5	6	0	0
sample_1	chrom4	6	7	0	0
sample_1	chrom4	7	8	0	0
sample_1	chrom4	8	9	0	0
sample_1	chrom4	9	10	0	0
sample_2	chrom1	0	1	0	0
sample_2	chrom1	1	2	0	0
sample_2	chrom1	2	3	0	0
sample_2	chrom1	3	4	0	0
sample_2	chrom1	4	5	0	0
sample_2	chrom1	5	6	0	0
sample_2	chrom1	6	7	0	0
sample_2	chrom1	7	8	0	0
sample_2	chrom1	8	9	0	0
sample_2	chrom1	9	10	0	0
sample_2	chrom2	0	1	0	0
sample_2	chrom2	1	2	0	0
sample_2	chrom2	2	3	0	0
sample_2	chrom2	3	4	0	0
sample_2	chrom2	4	5	0	0
sample_2	chrom2	5	6	0	0
sample_2	chrom2	6	7	0	0
sample_2	chrom2	7	8	0	0
sample_2	chrom2	8	9	0	0
sample_2	chrom2	9	10	0	0
sample_2	chrom3	0	1	0	0
sample_2	chrom3	1	2	0	0
